name,tel,street,locality,region,postcode
Arundel & District Hospital,01903 882543,"Arundel & District Hospital, Chichester Road, Arundel",Arundel,Sussex,BN18 0AB
BMI St Edmunds Hospital,01284 701 371,St. Marys Square,Bury St. Edmunds,Suffolk,IP33 2AA
Fountain Way,01722 820100,Wilton Road,Salisbury,Wiltshire,SP2 7FD
BMI Woodlands Hospital,01325 341700,Morton Park Way,Darlington,,DL1 4PL
Thanet Multi Agency Service,,"Mortimer House, 24 Hartsdown Road",,Margate,CT9 5QP
The Bennion Centre (Elderly),0116 225 2750,"Glenfield Hospital, Groby Road",Leicester,Leicestershire,LE3 9DZ
Doncaster Royal Infirmary,01302 366666,Thorne Road,Doncaster,Yorkshire,DN2 5LT
Watford General Hospital,01923 244366,Vicarage Road,Watford,Hertfordshire,WD18 0HB
Carlton Court,02084474790,112 Bells Hill,Barnet,Hertfordshire,EN5 2SQ
Goole and District Hospital,01405 720720,Woodland Avenue,Goole,North Humberside,DN14 6RX
West Midlands Hospital, 01384 560123 ,Colman Hill,Halesowen,West Midlands,B63 2AH
University Hospital Of North Staffordshire,01782 715 444,"City General, Newcastle Road",Stoke-on-Trent,Staffordshire,ST4 6QG
Yeatman Hospital,01935 813991,Hospital Lane,Sherborne,Dorset,DT9 3JU
Parkside Hospital,020 8971 8000,"53 Parkside, Wimbledon",London,,SW19 5NX
"Queen's Hospital, Burton Upon Trent",01283 566333,Belvedere Road,Burton -on- Trent,Staffordshire,DE13 0RB
Orsett Hospital,* 0845 155 3111,"Rowley Road, Orsett",Grays,Essex,RM16 3EU
Chesterton Medical Centre,01223 883740,"Chesterton Medical Centre, 35 Union Lane",Cambridge,Cambridgeshire,CB4 1PX
Bridport Community Hospital,01308 422371,"Hospital Lane, North Allington",Bridport,Dorset,DT6 5DR
BMI Goring Hall Hospital,01903 506699,"Bodiam Avenue, Goring-By-Sea",Worthing,West Sussex,BN12 5AT
Cygnet Hospital Ealing,020 8991 6699,22 Corfton Road,Ealing,,W5 2HT
The Huntingdon NHS Treatment Centre,01480 416416,"Hinchingbrooke Healthcare NHS Trust, Hinchingbrooke Park",Huntingdon,Cambridgeshire,PE29 6NT
Newbury Park Health Centre,,40 Perrymans Farm Road,Ilford,Essex,IG2 7LE
Royal National Orthopaedic Hospital (Bolsover Street),020 8954 2300,45-51 Bolsover Street,London,Greater London,W1W 5AQ
Calderdale Royal Hospital,01422 357171,Salterhebble,Halifax,West Yorkshire,HX3 0PW
Queen Victoria Hospital (East Grinstead),01342 414000,Holtye Road,East Grinstead,West Sussex,RH19 3DZ
Luton and Dunstable Hospital,01582 491166,Lewsey Road,Luton,Bedfordshire,LU4 0DZ
St Martin's Hospital,01227 459371,Littlebourne Road,Canterbury,Kent,CT1 1TD
Clacton Hospital,01255 201717,Tower Road,Clacton,Essex,CO15 1LH
Lenworth Clinic,,"329 Hythe Road, Willesborough",,Ashford,TN24 0QE
The Whittington Hospital At Hornsey Central,,151 Park Road,London,Greater London,N8 8JD
Glenfield Hospital,0300 303 1573,Groby Road,Leicester,Leicestershire,LE3 9QP
Abingdon Community Hospital,01235 205700,Marcham Road,Abingdon,Oxfordshire,OX14 1AG
Uckfield Community Hospital,01825 769999,"Uckfield Community Hospital, Fransfield Road",Uckfield,Sussex,TN22 5AW
Bolton Diabetes Centre,01204 462400,Chorley Street,Bolton,,BL1 4AL
Soho NHS Walk-in Centre,02075346500,"1 Frith Street, W1D 3HZ",London,,W1D 3HZ
Lister Health Centre,020 3049 8310,"101 Peckham Road, Peckham",London,,SE15 5LJ
Haywood Hospital,,"High Lane, Burslem",Stoke-On-Trent,Staffordshire,ST6 7AG
Warminster Community Hospital,01985 212076,The Avenue,Warminster,Wiltshire,BA12 8QS
Royal Cornwall Hospital (Treliske),01872 250000,Treliske,Truro,Cornwall,TR1 3LQ
Savernake Hospital,01672 517200,General Hospital,Marlborough,Wiltshire,SN8 3HL
"Nuffield Health, Cambridge Hospital",01223 303 336,"Nuffield Health Cambridge Hospital, 4 Trumpington Road",Cambridge,Cambridgeshire,CB2 8AF
Mill View Hospital,01273 621984,Nevill Avenue,Hove,,BN3 7HY
Frimley Park Hospital,020 8550 9108,"Frimley Park Hospital, Portsmouth Road, Frimley",Camberley,Surrey,GU16 7UJ
Bradwell Hospital,0300 123 0905,"Talke Road, Chesterton",Newcastle,Staffordshire,ST5 7NJ
Colman Hospital,01603 255720,Unthank Road,Norwich,,NR2 2PJ
Wexham Park Hospital,01753 633 000,"Wexham Park Hospital, Wexham Street, Wexham",Slough,Berkshire,SL2 4HL
Bunny Hill Primary Care Centre,0191 5195800,"Bunny Hill Primary Care Centre, Hylton Lane",Sunderland,Tyne and Wear,SR5 4BW
Gravesham Community Hospital,01474 360500,"Gravesham Community Hospital, Bath Street",Gravesend,Kent,DA11 0DG
Minster Surgery,,"75 High Street, Minster",Ramsgate,Kent,CT12 4AB
Castle Hill Hospital,01482 875875,Castle Road,Cottingham,,HU16 5JQ
Fenwick Hospital,,Pikes Hill,Lyndhurst,Hampshire,SO43 7NG
Ida Darwin,,"Cambridge Road, Fulbourn",Cambridge,Cambridgeshire,CB21 5EE
Nuffield Diagnostic Centre,Appointments 01536 493300,Cottingham Rd,Corby,Northamptonshire,NN17 2UW
The Christie,,"The Christie Nhs Foundation Trust, The Palatine Centre, 63-65 Palatine Road",Manchester,Greater Manchester,M20 3LJ
The Eastman Dental Hospital,020 3456 7899,256 Gray's Inn Road,London,,WC1X 8LD
BMI The Kings Oak Hospital,020 8370 9500,The Ridgeway,Enfield,Middlesex,EN2 8SD
St Georges Hospital (Morpeth),0191 213 0151,St Georges Hospital,Morpeth,Northumberland,NE61 2NU
Tonbridge Cottage Hospital,01732 353653,Vauxhall Lane,Tonbridge,Kent,TN11 0NE
"Nuffield Health, York Hospital",0800 015 5020,Haxby Road,York,North Yorkshire,YO31 8TA
Burrswood Hospital,01892 863637,"Burrswood, Groombridge",Tunbridge Wells,Kent,TN3 9PY
Stafford Hospital,01785 257 731,Weston Road,Stafford,Staffordshire,ST16 3SA
Sir G B Hunter Memorial Hospital,0191 220 5953,The Green,Wallsend,Tyne and Wear,NE28 7PB
North Tyneside General Hospital,0344 811 8111,Rake Lane,North Shields,,NE29 8NH
Heavitree Hospital,01392 411 611,Gladstone Road,Exeter,Devon,EX1 2ED
Queen Elizabeth Hospital,0121 627 2000,"Mindelsohn Way, Edgbaston",Birmingham,,B15 2WB
Blandford Community Hospital,01258 456541,Milldown Road,Blandford Forum,Dorset,DT11 7DD
Cobham Community Hospital,01932 588 400,168 Portsmouth Road,Cobham,Surrey,KT11 1HT
The Liverpool Centre Clinic,,"Ropewalks Group Practice, 28 Argyle Street",,Liverpool,L1 5DL
Thornhills Medical Practice,01732 525935,"Larkfield Health Centre, Martin Square",Larkfield,Kent,ME20 6QJ
Royal Hospital For Neuro-Disability,020 8780 4500,West Hill,London,Greater London,SW15 3SW
Birmingham Chest Clinic,,"151 Great Charles Street, Queensway",,Birmingham,B3 3HX
Stratton Hospital,,"Hospital Road, Stratton",Bude,Cornwall,EX23 9BR
Nottingham University Hospitals NHS Trust - Queen's Medical Centre Campus,0115 924 9924,Derby Road,Nottingham,Nottinghamshire,NG7 2UH
Whitstable and Tankerton Hospital,01227 594601,"Whitstable and Tankerton Hospital, Northwood Road, Tankerton",Whitstable,Kent,CT5 2HN
The Ladywell Unit,020 32280200,"University Hospital Lewisham, Lewisham High Street",London,,SE13 6LH
"Fryatt Hospital, Harwich",01255 201201,419 Main Road,Harwich,Essex,CO12 4EX
Danetre Hospital,01327 708800,London Road,Daventry,Northamptonshire,NN11 4DY
Goodmayes Hospital,020 8215 9200,"Barley Lane, Goodmayes",Ilford,Essex,IG3 8XJ
bpas (Milton Keynes),03457304030,"355 Acorn House, Midsummer Boulevard",Milton Keynes,Buckinghamshire,MK9 3HP
Boston West Hospital,01205 591860,"Boston West Business Park, Sleaford Road",Boston,Lincolnshire,PE21 8EG
Hundens Lane Day Hospital - Darlington,,Hundens Lane,Darlington,County Durham,DL1 1JE
Fairfield General Hospital,0161 764 6081,"Fairfield General Hospital, Rochdale Old Road",Bury,Lancashire,BL9 7TD
Ashburton and Buckfastleigh Community Hospital,01364 652203,9-15 Eastern Road,Ashburton,Devon,TQ13 7AP
Seacroft Hospital,(0113) 2648164,York Road,Leeds,West Yorkshire,LS14 6UH
"Nuffield Health, Plymouth Hospital",0800 015 5020,Derriford Road,Plymouth,Devon,PL6 8BG
Aintree University Hospital,0151 525 5980,"Aintree University Hospital, Lower Lane",Liverpool,Merseyside,L9 7AL
Heartlands Hospital,,"Birmingham Heartlands Hospital, Bordesley Green",Birmingham,West Midlands,B9 5SS
Petersfield Community Hospital,01730 263221,Swan Street,Petersfield,Hampshire,GU32 3LB
Worle Health Centre,,"125 High Street, Worle",Weston-Super-Mare,Avon,BS22 6HB
Winscombe Surgery,,Hillyfields Way,,Winscombe,BS25 1AF
Warwick Hospital,01926 495321,"Warwick Hospital, Lakin Road",Warwick,Warwickshire,CV34 5BW
Victoria Hospital,,Hayward Road,,,BB5 6AS
Royal United Hospital,01225 428331,"Royal United Hospital Bath NHS Trust, Combe Park",Bath,,BA1 3NG
Churchill Hospital,020 8872 3872,Sudbury Hill,Harrow,Middlesex,HA1 3RX
Air Balloon Surgery,0117 9099912,"Air Balloon Surgery, Kenn Road, St George",Bristol,,BS5 7PD
St Helier Hospital,,"St Helier Hospital, Wrythe Lane",Carshalton,Surrey,SM5 1AA
The London Chest Hospital,020 3416 5000,Bonner Road,London,,E2 9JX
Harrogate District Hospital,01423 885959,Lancaster Park Road,Harrogate,North Yorkshire,HG2 7SX
Congleton War Memorial Hospital,01260 294800,"Congleton War Memorial Hospital, Canal Road",Congleton,Cheshire,CW12 3AR
Peter Hodgkinson Centre,01522 573553,"Peter Hodgkinson Centre, Lincoln County Hospital, Greetwell Road",Lincoln,Lincolnshire,LN2 5QY
St Andrew's Healthcare - Northampton,01604 616000,"St. Andrews Hospital, Billing Road",Northampton,Northamptonshire,NN1 5DG
Tameside General Hospital,,Fountain Street,Ashton-Under-Lyne,Lancashire,OL6 9RW
bpas (Birmingham Central),03457304030,"Room 3/4, Guildhall Buildings, Navigation Street",Birmingham,West Midlands,B2 4BT
Southmead Hospital,0117 9505050,"Southmead Hospital, Southmead Road",Bristol,,BS10 5NB
BMI The Hampshire Clinic,01256 357111,"Basing Road, Old Basing",Basingstoke,Hampshire,RG24 7AL
Weller Wing,,Kempston Road,,,MK42 9DJ
West Park Hospital,01325 552000,Edward Pease Way,Darlington,Durham,DL2 2TS
Kingsbridge (South Hams) Community Hospital,01548 852349,Plymouth Road,Kingsbridge,Devon,TQ7 1XT
Bewley House,01249 767800,Marshfield Road,Chippenham,Wiltshire,SN15 1JW
The Huntercombe Hospital - Stafford,01785 840000,"Ivetsey Bank, Wheaton Aston",Stafford,Staffordshire,ST19 9QT
Hurstwood Park Neurosciences Centre,,Lewes Road,,Haywards Heath,RH16 4EX
Lymington New Forest Hospital,01590 663000,Wellworthy Road,Lymington,Hampshire,SO41 8QD
Pinehill Hospital,,Benslow Lane,Hitchin,Hertfordshire,SG4 9QZ
The Huntercombe Hospital - Maidenhead,,"Huntercombe Lane South, Taplow",Maidenhead,Berkshire,SL6 0PQ
Barnsley Hospital,01226 730000,Gawber Road,Barnsley,,S75 2EP
Clifton Park Hospital,01904 464550,"Bluebeck Drive, Shipton Road",York,North Yorkshire,YO30 5RA
Okehampton Hospital,01837 658 000,Cavell Way,Okehampton,Devon,EX20 1PN
Longton Hospital,,Upper Belgrave Road,Stoke-On-Trent,Staffordshire,ST3 4QX
BMI The Harbour Hospital,01202 244200,St Mary's Road,Poole,Dorset,BH15 2BH
Greater Manchester NHS CATS - Denton,0333 200 4042,111 Piccadilly,Manchester,,M1 2HY
Will Adams NHS Treatment Centre,0333 200 1730,"c/o Care UK, Godden Way, Beechings Way Industrial Centre",Gillingham,Kent,ME8 6AD
The Princess Royal Hospital,01952 641222,"Apley Castle, Grainger Drive",Telford,Shropshire,TF1 6TF
Spire Dunedin Hospital, 0118 955 3410,16 Bath Road,Reading,Berkshire,RG1 6NS
Royal Bolton Hospital,01204 390390,"Minerva Road, Farnworth",Bolton,Lancashire,BL4 0JR
Guy's Hospital,0207 1887188,Great Maze Pond,London,,SE1 9RT
Tenbury Community Hospital,,"Worcester Road, Burford",Tenbury Wells,Worcestershire,WR15 8AP
Queen Elizabeth I I Hospital,01707 328111,"Howlands, Howlands",Welwyn Garden City,Hertfordshire,AL7 4HQ
St Pancras Hospital,020 3317 3500,"Inpatient Unit, South Wing, 4 St. Pancras Way",London,,NW1 0PE
King's Mill Hospital,01623 622515,Mansfield Road,Sutton-In-Ashfield,Nottinghamshire,NG17 4JL
Sutton Hospital,020 8296 2000,Cotswold Road,Sutton,Surrey,SM2 5NF
Duchy Hospital,01423 567 136,Queens Road,Harrogate,North Yorkshire,HG2 0HF
Queen Elizabeth The Queen Mother Hospital,01843 225544,"Queen Elizabeth The Queen Mother Hospital, St Peters Road",Margate,Kent,CT9 4AN
Frenchay Hospital,0117 970 1212,Frenchay Park Road,Bristol,,BS16 1LE
Trafford General Hospital,0161 748 4022,"Moorside Road, Davyhulme",Manchester,,M41 5SL
Dilke Memorial Hospital,0300 421 8640,Speech House Road,Cinderford,,GL14 3HX
Small Heath Health Centre,0121 301 7200,"42 Chapman Road, Small Heath",Birmingham,West Midlands,B10 0PG
Longridge Community Hospital,,"St. Wilfrids Terrace, Longridge",Preston,Lancashire,PR3 3WQ
Elective Orthopaedic Centre,01372 735 800,"Dorking Road, Dorking Road",Epsom,Surrey,KT18 7EG
Craig Croft Clinic,,Craig Croft,Birmingham,West Midlands,B37 7TR
The New Selby War Memorial Hospital,01904 724300,Doncaster Road,Selby,North Yorkshire,YO8 9BX
Axminster Community Hospital,01297 630 400,Chard Road,Axminster,Devon,EX13 5DU
University College Hospital,,"Urgent Care Centre, University College Hospital, 235 Euston Road",London,Greater London,NW1 2BU
Oxted Therapy Unit,01883 733890,Barnetts Way,Oxted,Surrey,RH8 0NQ
Radbourne Unit,01332 623700,"Radbourne Unit, Royal Derby Hospital, Uttoxeter Road",Derby,Derbyshire,DE22 3WQ
Amersham Hospital,01494 526 161,"Amersham Hospital, Whielden Street",Amersham,Buckinghamshire,HP7 0JD
Southport and Formby District General Hospital,01704 547471,Town Lane,Southport,Merseyside,PR8 6PN
Evesham Community Hospital,01386 502449,"Evesham Community Hospital, Waterside",Evesham,Worcestershire,WR11 1JT
Long Eaton Health Centre,,"Long Eaton Health Centre, Midland Street, Long Eaton","Nottingham, Derbyshire",,NG10 1RY
Central Middlesex Hospital,020 8965 5733,Acton Lane,London,Greater London,NW10 7NS
Shepton Mallet NHS Treatment Centre,01749 333600,"Shepton Mallet Treatment Centre, Old Wells Road",Shepton Mallet,Somerset,BA4 4LP
George Bryan Centre,01827 285598,"Plantation Lane, Mile Oak",Tamworth,Staffordshire,B78 3NG
The Royal Victoria Infirmary,0191 233 6161,"Queen Victoria Road, New Victoria Wing, Royal Victoria Infirmary",Newcastle Upon Tyne,,NE1 4LP
Spire Sussex Hospital,* 0845 604 7400,The Ridge,St. Leonards-on-Sea,,TN37 7PT
Priory Hospital North London,020 8882 8191,"Grovelands House, The Bourne, Southgate",London,,N14 6RA
Bridgewater Hospital,,120 Princess Road,Manchester,Greater Manchester,M15 5AT
Westmorland General Hospital,01539 732288,Burton Rd,Kendal,,LA9 7RG
Rivers Hospital,01279 600282,High Wych Road,Sawbridgeworth,Hertfordshire,CM21 0HH
Ealing Hospital,020 8967 5000,Uxbridge Road,Southall,Middlesex,UB1 3HW
The Clatterbridge Cancer Centre NHS Foundation Trust,0151 334 1155,"Clatterbridge Road, Bebington",Wirral,,CH63 4JY
Oleaster,0121 301 2200,"6 Mindelsohn Crescent, Edgbaston",Birmingham,West Midlands,B15 2SY
City & Hackney Teaching Pct Walk In Centre,01273 734545,"Behrooz Sahami City Dental Practice, 49 Blatchington Road",Hove,,BN3 3YJ
Crowborough War Memorial Hospital,,Southview Road,Crowborough,East Sussex,TN6 1HG
Sir Robert Peel Hospital,01827 263 800,"Plantation Lane, Mile Oak",Tamworth,Staffordshire,B78 3NG
All Hallows Hospital,01986 892728,"Station Road, Ditchingham",Bungay,Suffolk,NR35 2QL
BMI Bishops Wood Hospital,01923 835814,Rickmansworth Road,Northwood,Middlesex,HA6 2JW
Leigh Infirmary,01942 244000,The Avenue,Leigh,Lancashire,WN7 1HS
BMI The Blackheath Hospital,020 8318 7722,40 - 42 Lee Terrace,London,,SE3 9UD
North Walsham Hospital,,"North Walsham Cottage Hospital, Yarmouth Road",North Walsham,Norfolk,NR28 9AP
Edenbridge War Memorial Hospital,01732 863164,"Edenbridge and District War Memorial Hospital, Mill Hill",Edenbridge,Kent,TN8 5DA
BMI The Lancaster Hospital,01524 62345,Meadowside,Lancaster,Lancashire,LA1 3RH
Worcestershire Royal Hospital,01905 763 333,Charles Hastings Way,Worcester,Worcestershire,WR5 1DD
Edward Street Hospital,* 0845 1461800,"Edward Street, Edward Street",West Bromwich,,B70 8NL
Essex County Hospital,01206 747474,Lexden Road,Colchester,Essex,CO3 3NB
Eastbourne District General Hospital,01323 417400,Kings Drive,Eastbourne,East Sussex,BN21 2UD
BMI Gisburne Park Hospital,01200 455 693,"Gisburn Park Estate, Park Road",Clitheroe,Lancashire,BB7 4HX
Mansfield Community Hospital,01623 785050,Stockwell Gate,Mansfield,Nottinghamshire,NG18 5QJ
Nuffield Orthopaedic Centre,01865 741155,"Old Road, Headington",Oxford,Oxfordshire,OX3 7HE
Leeds General Infirmary,0113 243 2799,Great George Street,Leeds,West Yorkshire,LS1 3EX
Portishead Health Centre,,"Victoria Square, Portishead",,Bristol,BS20 6AQ
Victoria Central Hospital,0151 604 7328,"Victoria Central Hospital, Mill Lane, Wallasey",Merseyside,,CH44 5UF
Ross on Wye Community Hospital ,01989 562100,"Ross on Wye Community Hospital, Wye Valley NHS Trust, Alton Street",Ross-on-Wye,Herefordshire,HR9 5AD
University Hospital Of North Durham,,"University Hospital Of Durham, Dryburn Hospital, North Road",Durham,County Durham,DH1 5TW
Shotley Bridge Hospital,0191 333 2333,"Shotley Bridge Hospital, Shotley Bridge",Consett,County Durham,DH8 0NB
Trowbridge Community Hospital,,Adcroft Street,Trowbridge,Wiltshire,BA14 8PH
West Berkshire Community Hospital,01635 273300,"London Road, Benham Hill",Thatcham,Berkshire,RG18 3AS
Charles Clifford Dental Hospital,0114 271 7800,76 Wellesley Road,Sheffield,South Yorkshire,S10 2SZ
Norwich Community Hospital,01603 776776,Bowthorpe Road,Norwich,,NR2 3TU
Holme Valley Memorial Hospital,,Huddersfield Road,Holmfirth,West Yorkshire,HD9 3TS
Ashford & St Peters Hospital,01932 872000,"St Peters Hospital, Guildford Road",Chertsey,Surrey,KT16 0PZ
Warrington Hospital,01925 635911,"Warrington Hospital, Lovely Lane",Warrington,Cheshire,WA5 1QG
Northern General Hospital,0114 243 4343,Herries Road,Sheffield,South Yorkshire,S5 7AU
Heath Lodge Clinic,0121 446 1638,"1357 Warwick Road, Knowle",Solihull,West Midlands,B93 9LW
Hartington Unit,01246 512563,"Hartington Unit, Chesterfield Royal Hospital, Calow",Chesterfield,Derbyshire,S44 5BL
Parkwood Hospital,01253 306980,East Park Drive,Blackpool,Lancashire,FY3 8PW
Spire Washington Hospital,0191 418 8669,Picktree Lane,Washington,Tyne and Wear,NE38 9JZ
bpas (Bournemouth),03457304030,"Dean Park Clinic, 23 Ophir Road",Bournemouth,Dorset,BH8 8LS
Ormskirk and District General Hospital,01695 577111,Wigan Road,Ormskirk,Lancashire,L39 2AZ
BMI The Ridgeway Hospital,01793 814848,"Moormead Road, Wroughton",Swindon,Wiltshire,SN4 9DD
Mount Vernon Hospital,01226 730000,Mount Vernon Road,Barnsley,,S70 4DP
The Whittington Hospital,,151 Park Road,London,Greater London,N8 8JD
Queen Mary's Hospital For Children,020 8296 2000,Wrythe Lane,Carshalton,Surrey,SM5 1AA
Chard & District Hospital,02084452014,"10 Orchard Avenue, Whetstone",London,,N20 0JA
Airedale Centre for Mental Health,,Airedale General Hospital,,,BD20 6PD
Ilkeston Community Hospital,0115 9305522,Heanor Road,Ilkeston,Derbyshire,DE7 8LN
Spire Harpenden Hospital,01582 763191,"Spire Harpenden Hospital, Ambrose Lane",Harpenden,,AL5 4BP
Fitzwilliam Hospital,01733 842333 ,"Milton Way, Bretton",Peterborough,Cambridgeshire,PE3 9AQ
Harplands Hospital,01782 441600,Hilton Road,Stoke-on-Trent,Staffordshire,ST4 6RR
Nene Park Outpatients Clinic,,"Premier Way, Attley Way, Irthlingborough",Wellingborough,Northamptonshire,NN9 5GF
West Heath Hospital,0121 466 6000,"West Heath Hospital, Rednal Road",Birmingham,West Midlands,B38 8HR
West Mendip Community Hospital,,Old Wells Road,,,BA6 8JD
